(0,0)
(0,0)
(14,5)
(0,0)
(1,1)
(-2,0)
(0,0)
(3,42)
(0,0)
(1,0)
(0,0)
(-1,0)
(1,0)
(1,0)
(1,0)
(128,91)
(0,1)
(0,2)
(0,0)
(79,60)
(0,1)
(67,47)
(-4,0)
(-3,2)
(35,35)
(45,32)
(16,23)
(-2,0)
(21,0)
(5,8)
(0,0)
(-20,0)
(1,0)
(23,-1)
(-1,0)
(0,0)
(-24,1)
(0,-6)
(1,20)
(0,0)
(0,0)
(23,3)
(8,3)
(0,0)
(-4,1)
(5,3)
(0,0)
(-9,-3)
(103,79)
(0,2)
(95,73)
(18,11)
(65,44)
(0,0)
(-4,-2)
(-18,0)
(13,8)
(23,27)
(16,21)
(12,10)
(12,7)
(2,3)
(-1,6)
(-17,7)
(0,0)
(-1,1)
(1,1)
(0,0)
(0,0)
(-7,-14)
(0,-1)
(-1,-14)
(0,7)
(-60,77)
(28,-2)
(139,160)
(1,1)
(-15,13)
(-12,-2)
(-32,-5)
(-30,-12)
(0,-2)
(0,0)
(-2,-2)
(45,30)
(55,42)
(-8,-4)
(0,1)
(53,40)
(-14,-10)
(22,28)
(-5,-5)
(23,8)
(2,-2)
(-5,8)
(-26,-13)
(1,-1)
(0,0)
(0,0)
(1,1)
(0,0)
(0,0)
(0,1)
(-1,-13)
(141,66)
(15,8)
(1,1)
(-37,159)
(-73,66)
(-32,3)
(-37,-3)
(2,-1)
(0,0)
(-14,5)
(3,0)
(2,0)
(0,0)
(-2,-1)
(-1,0)
(12,7)
(38,39)
(2,3)
(-1,1)
(1,4)
(20,2)
(-8,-11)
(-3,0)
(-34,-18)
(0,0)
(190,212)
(0,0)
(-1,-1)
(0,0)
(163,135)
(0,-1)
(-1,-12)
(141,56)
(0,1)
(-68,107)
(6,-3)
(-62,152)
(-18,9)
(3,-4)
(0,0)
(-48,174)
(2,0)
(-3,0)
(-3,0)
(0,-1)
(0,0)
(1,0)
(-1,-1)
(1,0)
(-11,-7)
(23,26)
(-2,1)
(-11,-11)
(-14,-18)
(-4,10)
(0,0)
(0,6)
(0,0)
(179,168)
(-2,-3)
(-1,-1)
(0,0)
(0,0)
(-1,-16)
(0,8)
(0,-5)
(22,6)
(-49,120)
(-8,5)
(-70,109)
(0,0)
(3,-1)
(0,-1)
(0,0)
(0,0)
(-3,1)
(1,0)
(0,0)
(-1,0)
(33,-32)
(1,2)
(0,1)
(22,25)
(29,21)
(-11,-16)
(16,2)
(-44,-34)
(-10,-3)
(0,-7)
(-1,-2)
(-14,26)
(-1,0)
(173,174)
(165,142)
(0,-1)
(-1,-17)
(0,-8)
(127,104)
(123,91)
(-35,90)
(-1,-1)
